IATA,Name,City,Official Country Name
NEG,Negril Airport,Negril,Jamaica
KTP,Tinson Pen Airport,Tinson Pen,Jamaica
ACA,General Juan N Alvarez International Airport,Acapulco,United Mexican States
AGU,Jesus Teran International Airport,Aguascalientes,United Mexican States
HUX,Bahias de Huatulco International Airport,Huatulco,United Mexican States
ACN,Ciudad Acuna New International Airport,Ciudad Acuna,United Mexican States
CME,Ciudad del Carmen International Airport,Ciudad del Carmen,United Mexican States
CUL,Federal de Bachigualato International Airport,Culiacan,United Mexican States
CTM,Chetumal International Airport,Chetumal,United Mexican States
CEN,Ciudad Obregon International Airport,Ciudad Obregon,United Mexican States
CPE,Ingeniero Alberto Acuna Ongay International Airport,Campeche,United Mexican States
CJS,Abraham Gonzalez International Airport,Ciudad Juarez,United Mexican States
CUU,General Roberto Fierro Villalobos International Airport,Chihuahua,United Mexican States
CVM,General Pedro Jose Mendez International Airport,Ciudad Victoria,United Mexican States
CYW,Captain Rogelio Castillo National Airport,Celaya,United Mexican States
CZM,Cozumel International Airport,Cozumel,United Mexican States
CUA,Ciudad Constitucion Airport,Ciudad Constitucion,United Mexican States
MMC,Ciudad Mante National Airport,Ciudad Mante,United Mexican States
DGO,General Guadalupe Victoria International Airport,Durango,United Mexican States
TPQ,Amado Nervo National Airport,Tepic,United Mexican States
GDL,Don Miguel Hidalgo Y Costilla International Airport,Guadalajara,United Mexican States
GYM,General Jose Maria Yanez International Airport,Guaymas,United Mexican States
GUB,Guerrero Negro Airport,Guerrero Negro,United Mexican States
HMO,General Ignacio P. Garcia International Airport,Hermosillo,United Mexican States
CLQ,Lic. Miguel de la Madrid Airport,Colima,United Mexican States
SLW,Plan De Guadalupe International Airport,Saltillo,United Mexican States
JAL,El Lencero Airport,Xalapa,United Mexican States
LZC,Lazaro Cardenas Airport,Lazaro Cardenas,United Mexican States
LMM,Valle del Fuerte International Airport,Los Mochis,United Mexican States
BJX,Del Bajio International Airport,Silao,United Mexican States
LAP,Manuel Marquez de Leon International Airport,La Paz,United Mexican States
LTO,Loreto International Airport,Loreto,United Mexican States
MAM,General Servando Canales International Airport,Matamoros,United Mexican States
MID,Licenciado Manuel Crescencio Rejon Int Airport,Merida,United Mexican States
MUG,Mulege Airport,Mulege,United Mexican States
MXL,General Rodolfo Sanchez Taboada International Airport,Mexicali,United Mexican States
MLM,General Francisco J. Mujica International Airport,Morelia,United Mexican States
MTT,Minatitlan/Coatzacoalcos National Airport,Minatitlan,United Mexican States
MEX,Licenciado Benito Juarez International Airport,Mexico City,United Mexican States
MTY,General Mariano Escobedo International Airport,Monterrey,United Mexican States
MZT,General Rafael Buelna International Airport,Mazatlan,United Mexican States
NLD,Quetzalcoatl International Airport,Nuevo Laredo,United Mexican States
OAX,Xoxocotlan International Airport,Oaxaca,United Mexican States
PAZ,El Tajin National Airport,Poza Rica,United Mexican States
PBC,Hermanos Serdan International Airport,Puebla,United Mexican States
PPE,Puerto Penasco International Airport,Puerto Penasco,United Mexican States
PCO,Punta Colorada Airport,La Ribera,United Mexican States
PVR,Licenciado Gustavo Diaz Ordaz International Airport,Puerto Vallarta,United Mexican States
PXM,Puerto Escondido International Airport,Puerto Escondido,United Mexican States
QRO,Queretaro Intercontinental Airport,Queretaro,United Mexican States
REX,General Lucio Blanco International Airport,Reynosa,United Mexican States
SJD,Los Cabos International Airport,San Jose del Cabo,United Mexican States
CSW,Cabo San Lucas International Airport,Cabo San Lucas,United Mexican States
NLU,Santa Lucia Air Force Base,Reyes Acozac,United Mexican States
SLP,Ponciano Arriaga International Airport,San Luis Potosi,United Mexican States
TRC,Francisco Sarabia International Airport,Torreon,United Mexican States
TGZ,Angel Albino Corzo International Airport,Tuxtla Gutierrez,United Mexican States
TIJ,General Abelardo L. Rodriguez International Airport,Tijuana,United Mexican States
TQO,Felipe Carrillo Puerto International Airport,Tulum,United Mexican States
TAM,General Francisco Javier Mina International Airport,Tampico,United Mexican States
TLC,Licenciado Adolfo Lopez Mateos International Airport,Toluca,United Mexican States
TAP,Tapachula International Airport,Tapachula,United Mexican States
CUN,Cancun International Airport,Cancun,United Mexican States
VSA,Carlos Rovirosa Perez International Airport,Villahermosa,United Mexican States
VER,General Heriberto Jara International Airport,Veracruz,United Mexican States
ZCL,General Leobardo C. Ruiz International Airport,Zacatecas,United Mexican States
ZIH,Ixtapa Zihuatanejo International Airport,Ixtapa,United Mexican States
ZLO,Playa De Oro International Airport,Manzanillo,United Mexican States
BEF,Bluefields Airport,Bluefileds,Republic of Nicaragua
BZA,San Pedro Airport,Bonanza,Republic of Nicaragua
RNI,Corn Island,Corn Island,Republic of Nicaragua
MGA,Augusto C. Sandino (Managua) International Airport,Managua,Republic of Nicaragua
NVG,Nueva Guinea Airport,Nueva Guinea,Republic of Nicaragua
PUZ,Puerto Cabezas Airport,Puerto Cabezas,Republic of Nicaragua
RFS,Rosita Airport,La Rosita,Republic of Nicaragua
NCR,San Carlos,San Carlos,Republic of Nicaragua
SIU,Siuna,Siuna,Republic of Nicaragua
WSP,Waspam Airport,Waspam,Republic of Nicaragua
BOC,Bocas Del Toro International Airport,Isla Colon,Republic of Panama
CTD,Alonso Valderrama Airport,Chitre,Republic of Panama
CHX,Cap Manuel Nino International Airport,Changuinola,Republic of Panama
DAV,Enrique Malek International Airport,David,Republic of Panama
ONX,Enrique Adolfo Jimenez Airport,Colon,Republic of Panama
JQE,Jaque Airport,Jaque,Republic of Panama
PAC,Marcos A. Gelabert International Airport,Albrook,Republic of Panama
PUE,Puerto Obaldia Airport,Puerto Obaldia,Republic of Panama
BLB,Howard/Panama Pacifico International Airport,Panama City,Republic of Panama
SYP,Ruben Cantu Airport,Santiago,Republic of Panama
RIH,Cap Scarlet R. Martínez L. Airport,Río Hato,Republic of Panama
PTY,Tocumen International Airport,Tocumen,Republic of Panama
PVE,El Porvenir Airport,El Porvenir,Republic of Panama
NBL,San Blas Airport,Wannukandi,Republic of Panama
FON,Arenal Airport,La Fortuna/San Carlos,Republic of Costa Rica
TTQ,Aerotortuguero Airport,Roxana,Republic of Costa Rica
BAI,Buenos Aires Airport,Punta Arenas,Republic of Costa Rica
BCL,Barra del Colorado Airport,Pococi,Republic of Costa Rica
OTR,Coto 47 Airport,Corredores,Republic of Costa Rica
JAP,Chacarita Airport,Puntarenas,Republic of Costa Rica
RIK,Carrillo Airport,Nicoya,Republic of Costa Rica
DRK,Drake Bay Airport,Puntarenas,Republic of Costa Rica
FMG,Flamingo Airport,Brasilito,Republic of Costa Rica
GLF,Golfito Airport,Golfito,Republic of Costa Rica
GPL,Guapiles Airport,Pococi,Republic of Costa Rica
PBP,Islita Airport,Nandayure,Republic of Costa Rica
LIR,Daniel Oduber Quiros International Airport,Liberia,Republic of Costa Rica
LSL,Los Chiles Airport,Los Chiles,Republic of Costa Rica
LIO,Limon International Airport,Puerto Limon,Republic of Costa Rica
CSC,Mojica Airport,Canas,Republic of Costa Rica
NCT,Guanacaste Airport,Nicoya/Guanacate,Republic of Costa Rica
NOB,Nosara Airport,Nicoya,Republic of Costa Rica
SJO,Juan Santamaria International Airport,San Jose,Republic of Costa Rica
PJM,Puerto Jimenez Airport,Puerto Jimenez,Republic of Costa Rica
PMZ,Palmar Sur Airport,Palmar Sur,Republic of Costa Rica
SYQ,Tobias Bolanos International Airport,San Jose,Republic of Costa Rica
XQP,Quepos Managua Airport,Quepos,Republic of Costa Rica
RFR,Rio Frio / Progreso Airport,Rio Frio / Progreso,Republic of Costa Rica
IPZ,San Isidro del General Airport,Perez Zeledon,Republic of Costa Rica
TOO,San Vito De Java Airport,Coto Brus,Republic of Costa Rica
TNO,Tamarindo De Santa Cruz Airport,Santa Cruz,Republic of Costa Rica
TMU,Tambor Airport,Nicoya,Republic of Costa Rica
UPL,Upala Airport,Upala,Republic of Costa Rica
SAL,El Salvador International Airport,Santa Clara,Republic of El Salvador
ILS,Ilopango International Airport,San Salvador,Republic of El Salvador
CYA,Les Cayes Airport,Les Cayes,Republic of Haiti
CAP,Cap Haitien International Airport,Cap Haitien,Republic of Haiti
JAK,Jacmel Airport,Jacmel,Republic of Haiti
JEE,Jeremie Airport,Jeremie,Republic of Haiti
PAP,Toussaint Louverture International Airport,Port-au-Prince,Republic of Haiti
BCA,Gustavo Rizo Airport,Baracoa,Republic of Cuba
BWW,Las Brujas Airport,Cayo Santa Maria,Republic of Cuba
BYM,Carlos Manuel de Cespedes Airport,Bayamo,Republic of Cuba
AVI,Maximo Gomez Airport,Ciego de Avila,Republic of Cuba
CCC,Jardines Del Rey Airport,Cayo Coco,Republic of Cuba
CFG,Jaime Gonzalez Airport,Cienfuegos,Republic of Cuba
CYO,Vilo Acuna International Airport,Cayo Largo del Sur,Republic of Cuba
CMW,Ignacio Agramonte International Airport,Camaguey,Republic of Cuba
QCO,Colon Airport,Colon,Republic of Cuba
SCU,Antonio Maceo International Airport,Santiago,Republic of Cuba
NBW,Leeward Point Field,Guantanamo Bay Naval Station,Republic of Cuba
GAO,Mariana Grajales Airport,Guantanamo,Republic of Cuba
HAV,Jose Marti International Airport,Havana,Republic of Cuba
HOG,Frank Pais International Airport,Holguin,Republic of Cuba
VRO,Kawama Airport,Matanzas,Republic of Cuba
LCL,La Coloma Airport,Pinar del Rio,Republic of Cuba
UMA,Punta de Maisi Airport,Maisi,Republic of Cuba
MJG,Mayajigua Airport,Mayajigua,Republic of Cuba
MOA,Orestes Acosta Airport,Moa,Republic of Cuba
MZO,Sierra Maestra Airport,Manzanillo,Republic of Cuba
QSN,San Nicolas De Bari Airport,San Nicolas,Republic of Cuba
ICR,Nicaro Airport,Nicaro,Republic of Cuba
GER,Rafael Cabrera Airport,Nueva Gerona,Republic of Cuba
UPB,Playa Baracoa Airport,Havana,Republic of Cuba
QPD,Pinar Del Rio Airport,Pinar del Rio,Republic of Cuba
SNU,Abel Santamaria Airport,Santa Clara,Republic of Cuba
SNJ,San Julian Air Base,Pinar Del Rio,Republic of Cuba
SZJ,Siguanea Airport,Isla de la Juventud,Republic of Cuba
USS,Sancti Spiritus Airport,Sancti Spiritus,Republic of Cuba
TND,Alberto Delgado Airport,Trinidad,Republic of Cuba
VRA,Juan Gualberto Gomez International Airport,Varadero,Republic of Cuba
VTU,Hermanos Ameijeiras Airport,Las Tunas,Republic of Cuba
CYB,Gerrard Smith International Airport,Cayman Brac,Cayman Islands
LYB,Edward Bodden Airfield,Little Cayman,Cayman Islands
GCM,Owen Roberts International Airport,Georgetown,Cayman Islands
MAY,Clarence A. Bain Airport,Mangrove Cay,Commonwealth of the Bahamas
COX,Congo Town Airport,Andros,Commonwealth of the Bahamas
MHH,Marsh Harbour International Airport,Marsh Harbour,Commonwealth of the Bahamas
SAQ,San Andros Airport,Andros Island,Commonwealth of the Bahamas
AXP,Spring Point Airport,Spring Point,Commonwealth of the Bahamas
TCB,Treasure Cay Airport,Treasure Cay,Commonwealth of the Bahamas
BIM,South Bimini Airport,South Bimini,Commonwealth of the Bahamas
ATC,Arthur's Town Airport,Arthur's Town,Commonwealth of the Bahamas
TBI,New Bight Airport,Cat Island,Commonwealth of the Bahamas
CXY,Cat Cay Airport,Cat Cay,Commonwealth of the Bahamas
CRI,Colonel Hill Airport,Colonel Hill,Commonwealth of the Bahamas
PWN,Pitts Town Airport,Pitts Town,Commonwealth of the Bahamas
GGT,Exuma International Airport,George Town,Commonwealth of the Bahamas
ELH,North Eleuthera Airport,North Eleuthera,Commonwealth of the Bahamas
GHB,Governor's Harbour Airport,Governor's Harbour,Commonwealth of the Bahamas
RSD,Rock Sound Airport,Rock Sound,Commonwealth of the Bahamas
TCV,Torch Cay Airport,Hog Cay,Commonwealth of the Bahamas
FPO,Grand Bahama International Airport,Freeport,Commonwealth of the Bahamas
WTD,West End Airport,West End,Commonwealth of the Bahamas
IGA,Inagua Airport,Matthew Town,Commonwealth of the Bahamas
LGI,Deadman's Cay Airport,Deadman's Cay,Commonwealth of the Bahamas
SML,Stella Maris Airport,Stella Maris,Commonwealth of the Bahamas
MYG,Mayaguana Airport,Mayaguana,Commonwealth of the Bahamas
NAS,Lynden Pindling International Airport,Nassau,Commonwealth of the Bahamas
PID,Nassau Paradise Island Airport,Nassau,Commonwealth of the Bahamas
ZSA,San Salvador Airport,San Salvador,Commonwealth of the Bahamas
BGK,Big Creek Airport,Big Creek,Belize
BZE,Philip S. W. Goldson International Airport,Belize City,Belize
DGA,Pelican Beach Airstrip,Dangriga,Belize
MZE,Manatee Airport,Spanish Lookout,Belize
AIT,Aitutaki Airport,Aitutaki,Cook Islands
AIU,Enua Airport,Atiu Island,Cook Islands
MGS,Mangaia Island Airport,Mangaia Island,Cook Islands
MHX,Manihiki Island Airport,Manihiki Island,Cook Islands
MUK,Mauke Airport,Mauke Island,Cook Islands
MOI,Mitiaro Island Airport,Mitiaro Island,Cook Islands
PYE,Tongareva Airport,Penrhyn Island,Cook Islands
RAR,Rarotonga International Airport,Avarua,Cook Islands
EPG,Browns Airport,Weeping Water,United States of America
ICI,Cicia Airport,Cicia,Republic of Fiji
NAN,Nadi International Airport,Nadi,Republic of Fiji
PTF,Malolo Lailai Island Airport,Malolo Lailai Island,Republic of Fiji
KDV,Vunisea Airport,Vunisea,Republic of Fiji
MNF,Mana Island Airport,Mana Island,Republic of Fiji
MFJ,Moala Airport,Moala,Republic of Fiji
SUV,Nausori International Airport,Nausori,Republic of Fiji
LEV,Levuka Airfield,Bureta,Republic of Fiji
NGI,Ngau Airport,Ngau,Republic of Fiji
LUC,Laucala Island Airport,Laucala Island,Republic of Fiji
LKB,Lakeba Island Airport,Lakeba Island,Republic of Fiji
TVU,Matei Airport,Matei,Republic of Fiji
KXF,Koro Island Airport,Koro Island,Republic of Fiji
RTA,Rotuma Airport,Rotuma,Republic of Fiji
SVU,Savusavu Airport,Savusavu,Republic of Fiji
KAY,Wakaya Island Airport,Wakaya Island,Republic of Fiji
ONU,Ono-I-Lau Airport,Ono-I-Lau,Republic of Fiji
YAS,Yasawa Island Airport,Yasawa Island,Republic of Fiji
EUA,Kaufana Airport,Eua Island,Kingdom of Tonga
TBU,Fua'amotu International Airport,Nuku'alofa,Kingdom of Tonga
HPA,Lifuka Island Airport,Lifuka,Kingdom of Tonga
NFO,Mata'aho Airport,Angaha,Kingdom of Tonga
NTT,Kuini Lavenia Airport,Niuatoputapu,Kingdom of Tonga
VAV,Vava'u International Airport,Vava'u Island,Kingdom of Tonga
VBV,Vanua Balavu Airport,Vanua Balavu,Republic of Fiji
VTF,Vatulele Airport,Vatulele,Republic of Fiji
ABF,Abaiang Airport,Abaiang,Republic of Kiribati
BEZ,Beru Airport,Beru,Republic of Kiribati
FUN,Funafuti International Airport,Funafuti,Tuvalu
KUC,Kuria Airport,Kuria,Republic of Kiribati
MNK,Maiana Airport,Maiana,Republic of Kiribati
MZK,Marakei Airport,Marakei,Republic of Kiribati
MTK,Makin Island Airport,Makin Island,Republic of Kiribati
NIG,Nikunau Airport,Nikunau,Republic of Kiribati
OOT,Onotoa Airport,Onotoa,Republic of Kiribati
TRW,Bonriki International Airport,Tarawa,Republic of Kiribati
AEA,Abemama Atoll Airport,Abemama Atoll,Republic of Kiribati
TMN,Tamana Island Airport,Tamana Island,Republic of Kiribati
NON,Nonouti Airport,Nonouti,Republic of Kiribati
AIS,Arorae Island Airport,Arorae Island,Republic of Kiribati
TSU,Tabiteuea South Airport,Tabiteuea South,Republic of Kiribati
BBG,Butaritari Atoll Airport,Butaritari Atoll,Republic of Kiribati
AAK,Buariki Airport,Buariki,Republic of Kiribati
IUE,Niue International Airport,Alofi,Niue
FUT,Pointe Vele Airport,Futuna Island,Wallis and Futuna
WLS,Hihifo Airport,Wallis Island,Wallis and Futuna
HBB,Industrial Airpark,Hobbs,United States of America
AAU,Asau Airport,Asau,Independent State of Samoa
APW,Faleolo International Airport,Apia,Independent State of Samoa
FGI,Fagali'i Airport,Apia,Independent State of Samoa
FTI,Fitiuta Airport,Fitiuta Village,American Samoa
MXS,Maota Airport,Maota,Independent State of Samoa
PPG,Pago Pago International Airport,Pago Pago,American Samoa
PPT,Faa'a International Airport,Papeete,French Polynesia
APK,Apataki Airport,Apataki,French Polynesia
HHZ,Hikueru Atoll Airport,Hikueru Atoll,French Polynesia
NAU,Napuka Island Airport,Napuka Island,French Polynesia
TKV,Tatakoto Airport,Tatakoto,French Polynesia
PUK,Pukarua Airport,Pukarua,French Polynesia
NUK,Nukutavake Airport,Nukutavake,French Polynesia
AHE,Ahe Airport,Ahe Atoll,French Polynesia
KHZ,Kauehi Airport,Kauehi,French Polynesia
FHZ,Fakahina Airport,Fakahina,French Polynesia
TJN,Takume Airport,Takume,French Polynesia
NIU,Niau Airport,Niau,French Polynesia
KXU,Katiu Airport,Katiu,French Polynesia
UAP,Ua Pou Airport,Ua Pou,French Polynesia
UAH,Ua Huka Airport,Ua Huka,French Polynesia
BOB,Bora Bora Airport,Motu Mute,French Polynesia
TTI,Tetiaroa Airport,Tetiaroa,French Polynesia
HUH,Huahine-Fare Airport,Fare,French Polynesia
RFP,Raiatea Airport,Uturoa,French Polynesia
UOA,Mururoa Atoll Airport,Mururoa Atoll,French Polynesia
VHZ,Vahitahi Airport,Vahitahi,French Polynesia
DRA,Desert Rock Airport,Mercury,United States of America
MTV,Mota Lava Airport,Ablow,Republic of Vanuatu
SLH,Sola Airport,Sola,Republic of Vanuatu
TOH,Torres Airstrip,Loh/Linua,Republic of Vanuatu
EAE,Sangafa Airport,Sangafa,Republic of Vanuatu
CCV,Craig Cove Airport,Craig Cove,Republic of Vanuatu
LOD,Longana Airport,Longana,Republic of Vanuatu
SSR,Sara Airport,Pentecost Island,Republic of Vanuatu
PBJ,Tavie Airport,Paama Island,Republic of Vanuatu
LPM,Lamap Airport,Lamap,Republic of Vanuatu
LNB,Lamen Bay Airport,Lamen Bay,Republic of Vanuatu
MWF,Naone Airport,Maewo Island,Republic of Vanuatu
LNE,Lonorore Airport,Lonorore,Republic of Vanuatu
NUS,Norsup Airport,Norsup,Republic of Vanuatu
ZGU,Gaua Island Airport,Gaua Island,Republic of Vanuatu
RCL,Redcliffe Airport,Redcliffe,Republic of Vanuatu
SON,Santo Pekoa International Airport,Luganville,Republic of Vanuatu
TGH,Tongoa Island Airport,Tongoa Island,Republic of Vanuatu
ULB,Ulei Airport,Ambryn Island,Republic of Vanuatu
VLS,Valesdir Airport,Valesdir,Republic of Vanuatu
WLH,Walaha Airport,Walaha,Republic of Vanuatu
SWJ,Southwest Bay Airport,Malekula Island,Republic of Vanuatu
OLJ,North West Santo Airport,Olpoi,Republic of Vanuatu
AUY,Anelghowhat Airport,Anelghowhat,Republic of Vanuatu
AWD,Aniwa Airport,Aniwa,Republic of Vanuatu
DLY,Dillon's Bay Airport,Dillon's Bay,Republic of Vanuatu
FTA,Futuna Airport,Futuna Island,Republic of Vanuatu
IPA,Ipota Airport,Ipota,Republic of Vanuatu
UIQ,Quion Hill Airport,Quion Hill,Republic of Vanuatu
VLI,Port Vila Bauerfield Airport,Port Vila,Republic of Vanuatu
TGJ,Tiga Airport,Tiga,New Caledonia
BMY,Ile Art - Waala Airport,Waala,New Caledonia
KNQ,Kone Airport,Kone,New Caledonia
ILP,Ile des Pins Airport,Ile des Pins,New Caledonia
HLU,Nesson Airport,Houailou,New Caledonia
KOC,Koumac Airport,Koumac,New Caledonia
LIF,Lifou Airport,Lifou,New Caledonia
GEA,Noumea Magenta Airport,Noumea,New Caledonia
IOU,Edmond Cane Airport,Ile Ouen,New Caledonia
PUV,Poum Airport,Poum,New Caledonia
PDC,Mueo Airport,Mueo,New Caledonia
MEE,Mare Airport,Mare,New Caledonia
TOU,Touho Airport,Touho,New Caledonia
UVE,Ouvea Airport,Ouvea,New Caledonia
NOU,La Tontouta International Airport,Noumea,New Caledonia
AKL,Auckland International Airport,Auckland,New Zealand
TUO,Taupo Airport,Taupo,New Zealand
AMZ,Ardmore Airport,Manurewa,New Zealand
CHC,Christchurch International Airport,Christchurch,New Zealand
CHT,Chatham Islands-Tuuta Airport,Waitangi,New Zealand
DUD,Dunedin Airport,Dunedin,New Zealand
GBZ,Great Barrier Aerodrome,Claris,New Zealand
GIS,Gisborne Airport,Gisborne,New Zealand
GTN,Glentanner Airport,Glentanner Station,New Zealand
HLZ,Hamilton International Airport,Hamilton,New Zealand
KKE,Kerikeri Airport,Kerikeri,New Zealand
KAT,Kaitaia Airport,Kaitaia,New Zealand
ALR,Alexandra Airport,Alexandra,New Zealand
MRO,Hood Airport,Masterton,New Zealand
NPL,New Plymouth Airport,New Plymouth,New Zealand
NSN,Nelson Airport,Nelson,New Zealand
IVC,Invercargill Airport,Invercargill,New Zealand
PCN,Picton Aerodrome,Picton,New Zealand
ZQN,Queenstown International Airport,Queenstown,New Zealand
SZS,Ryans Creek Aerodrome,Oban,New Zealand
ROT,Rotorua Regional Airport,Rotorua,New Zealand
TRG,Tauranga Airport,Tauranga,New Zealand
TKZ,Tokoroa Airfield,Tokoroa,New Zealand
TWZ,Pukaki Airport,Twitzel,New Zealand
BHE,Woodbourne Airport,Blenheim,New Zealand
WLG,Wellington International Airport,Wellington,New Zealand
WIR,Wairoa Airport,Wairoa,New Zealand
WAG,Wanganui Airport,Wanganui,New Zealand
BIN,Bamiyan Airport,Bamiyan,Islamic Republic of Afghanistan
BST,Bost Airport,Bost,Islamic Republic of Afghanistan
CCN,Chakcharan Airport,Chakcharan,Islamic Republic of Afghanistan
DAZ,Darwaz Airport,Darwaz,Islamic Republic of Afghanistan
FAH,Farah Airport,Farah,Islamic Republic of Afghanistan
FBD,Faizabad Airport,Faizabad,Islamic Republic of Afghanistan
KWH,Khwahan Airport,Khwahan,Islamic Republic of Afghanistan
OAI,Bagram Air Base,Bagram,Islamic Republic of Afghanistan
KBL,Kabul International Airport,Kabul,Islamic Republic of Afghanistan
KHT,Khost Airport,Khost,Islamic Republic of Afghanistan
LQN,Qala-I-Naw Airport,Qala-I-Naw,Islamic Republic of Afghanistan
OAS,Sharana Airstrip,Sharana,Islamic Republic of Afghanistan
SGA,Sheghnan Airport,Sheghnan,Islamic Republic of Afghanistan
TII,Tarin Kowt Airport,Tarin Kowt,Islamic Republic of Afghanistan
TQN,Talolqan Airport,Taloqan,Islamic Republic of Afghanistan
ZAJ,Zaranj Airport,Zaranj,Islamic Republic of Afghanistan
BAH,Bahrain International Airport,Manama,Kingdom of Bahrain
AHB,Abha Regional Airport,Abha,Kingdom of Saudi Arabia
DMM,King Fahd International Airport,Ad Dammam,Kingdom of Saudi Arabia
DWD,Al Dawadmi Airport,Al Dawadmi,Kingdom of Saudi Arabia
GIZ,Jizan Regional Airport,Jizan,Kingdom of Saudi Arabia
QJB,Jubail Airport,Jubail,Kingdom of Saudi Arabia
JED,King Abdulaziz International Airport,Jeddah,Kingdom of Saudi Arabia
HBT,King Khaled Military City Airport,King Khaled Military City,Kingdom of Saudi Arabia
MED,Prince Mohammad Bin Abdulaziz Airport,Medina,Kingdom of Saudi Arabia
EAM,Nejran Airport,Nejran,Kingdom of Saudi Arabia
NUM,Neom Bay Airport,Neom Bay,Kingdom of Saudi Arabia
AQI,Hafr Al Batin Airport,Qaisumah,Kingdom of Saudi Arabia
RAH,Rafha Domestic Airport,Rafha,Kingdom of Saudi Arabia
RUH,King Khaled International Airport,Riyadh,Kingdom of Saudi Arabia
RAE,Arar Domestic Airport,Arar,Kingdom of Saudi Arabia
RSI,Red Sea International Airport,Hanak,Kingdom of Saudi Arabia
XXN,Riyadh Air Base,Riyadh,Kingdom of Saudi Arabia
AJF,Al-Jawf Domestic Airport,Al-Jawf,Kingdom of Saudi Arabia
EJH,Al Wajh Domestic Airport,Al Wajh,Kingdom of Saudi Arabia
ZUL,Zilfi Airport,Zilfi,Kingdom of Saudi Arabia
ABD,Abadan Airport,Abadan,Islamic Republic of Iran
AKW,Aghajari Airport,Omidiyeh,Islamic Republic of Iran
OMI,Omidiyeh Airport,Omidiyeh,Islamic Republic of Iran
AWZ,Ahwaz Airport,Ahwaz,Islamic Republic of Iran
BUZ,Bushehr Airport,Bushehr,Islamic Republic of Iran
AOY,Asaloyeh Airport,Asaloyeh,Islamic Republic of Iran
KNR,Jam Airport,Kangan,Islamic Republic of Iran
KIH,Kish International Airport,Kish Island,Islamic Republic of Iran
BDH,Bandar Lengeh Airport,Bandar Lengeh,Islamic Republic of Iran
KSH,Shahid Ashrafi Esfahani Airport,Kermanshah,Islamic Republic of Iran
IIL,Ilam Airport,Ilam,Islamic Republic of Iran
IFH,Hesa Airport,Hesa,Islamic Republic of Iran
IFN,Esfahan Shahid Beheshti International Airport,Isfahan,Islamic Republic of Iran
CQD,Shahrekord Airport,Shahrekord,Islamic Republic of Iran
RAS,Sardar-e-Jangal Airport,Rasht,Islamic Republic of Iran
HDM,Hamadan Airport,Hamadan,Islamic Republic of Iran
AJK,Arak Airport,Araak,Islamic Republic of Iran
NUJ,Hamadan Air Base,Hamadan,Islamic Republic of Iran
IKA,Imam Khomeini International Airport,Tehran,Islamic Republic of Iran
THR,Mehrabad International Airport,Tehran,Islamic Republic of Iran
GZW,Qazvin Airport,Qazvin,Islamic Republic of Iran
SNX,Semnan Airport,Semnan,Islamic Republic of Iran
BND,Bandar Abbas International Airport,Bandar Abbas,Islamic Republic of Iran
KER,Kerman Airport,Kerman,Islamic Republic of Iran
HDR,Havadarya Airport,Havadarya,Islamic Republic of Iran
XBJ,Birjand Airport,Birjand,Islamic Republic of Iran
CKT,Sarakhs Airport,Sarakhs,Islamic Republic of Iran
MHD,Mashhad International Airport,Mashhad,Islamic Republic of Iran
BJB,Bojnord Airport,Bojnord,Islamic Republic of Iran
AFZ,Sabzevar National Airport,Sabzevar,Islamic Republic of Iran
TCX,Tabas Airport,Tabas,Islamic Republic of Iran
GBT,Gorgan Airport,Gorgan,Islamic Republic of Iran
BSM,Bishe Kola Air Base,Amol,Islamic Republic of Iran
SRY,Dasht-e Naz Airport,Sari,Islamic Republic of Iran
FAZ,Fasa Airport,Fasa,Islamic Republic of Iran
LRR,Lar Airport,Lar,Islamic Republic of Iran
LFM,Lamerd Airport,Lamerd,Islamic Republic of Iran
SYZ,Shiraz Shahid Dastghaib International Airport,Shiraz,Islamic Republic of Iran
KHY,Khoy Airport,Khoy,Islamic Republic of Iran
ADU,Ardabil Airport,Ardabil,Islamic Republic of Iran
ACP,Sahand Airport,Maragheh,Islamic Republic of Iran
PFQ,Parsabade Moghan Airport,Parsabad,Islamic Republic of Iran
OMH,Urmia Airport,Urmia,Islamic Republic of Iran
TBZ,Tabriz International Airport,Tabriz,Islamic Republic of Iran
IMQ,Makou Airport,Makou,Islamic Republic of Iran
AZD,Shahid Sadooghi Airport,Yazd,Islamic Republic of Iran
ZBR,Konarak Airport,Chabahar,Islamic Republic of Iran
ZAH,Zahedan International Airport,Zahedan,Islamic Republic of Iran
AMM,Queen Alia International Airport,Amman,Hashemite Kingdom of Jordan
ADJ,Amman-Marka International Airport,Amman,Hashemite Kingdom of Jordan
AQJ,Aqaba King Hussein International Airport,Aqaba,Hashemite Kingdom of Jordan
OMF,King Hussein Air College,Mafraq,Hashemite Kingdom of Jordan
XIJ,Ahmed Al Jaber Air Base,Ahmed Al Jaber AB,State of Kuwait
KWI,Kuwait International Airport,Kuwait City,State of Kuwait
BEY,Beirut Rafic Hariri International Airport,Beirut,Lebanese Republic
KYE,Rene Mouawad Air Base,Tripoli,Lebanese Republic
AUH,Abu Dhabi International Airport,Abu Dhabi,United Arab Emirates
AZI,Al Bateen Executive Airport,Abu Dhabi,United Arab Emirates
AAN,Al Ain International Airport,Al Ain,United Arab Emirates
DHF,Abu Dhabi-Al Dhafra AB Airport,Al Bihouth,United Arab Emirates
XSB,Sir Bani Yas Airport,Sir Bani Yas,United Arab Emirates
